time	V(salida)	V(vin1)
0.000000000000000e+000	-6.342171e-006	0.000000e+000
1.096839285492025e-005	1.037917e-003	1.044843e-003
2.193678570984050e-005	2.065265e-003	2.072764e-003
3.290517856476075e-005	3.075701e-003	3.083763e-003
4.387357141968100e-005	4.069225e-003	4.077840e-003
5.484196427460125e-005	5.045837e-003	5.054995e-003
6.581035712952151e-005	6.005538e-003	6.015227e-003
7.677874998444173e-005	6.948326e-003	6.958538e-003
9.324080355587032e-005	8.311050e-003	8.322018e-003
1.097028571272989e-004	9.555360e-003	9.567019e-003
1.261649106987275e-004	1.068126e-002	1.069354e-002
1.426269642701561e-004	1.168874e-002	1.170159e-002
1.590890178415847e-004	1.257782e-002	1.259115e-002
1.755510714130133e-004	1.334848e-002	1.336224e-002
1.920131249844418e-004	1.400073e-002	1.401485e-002
2.174037499844418e-004	1.465335e-002	1.466783e-002
2.427943749844419e-004	1.494258e-002	1.495722e-002
2.681849999844419e-004	1.486843e-002	1.488303e-002
2.935756249844419e-004	1.443090e-002	1.444525e-002
3.189662499844420e-004	1.362998e-002	1.364388e-002
3.443568749844420e-004	1.246568e-002	1.247893e-002
3.697474999844420e-004	1.093800e-002	1.095039e-002
3.831403571272991e-004	1.001940e-002	1.003129e-002
3.965332142701563e-004	9.048145e-003	9.059490e-003
4.099260714130134e-004	8.024221e-003	8.034995e-003
4.233189285558706e-004	6.947631e-003	6.957806e-003
4.367117856987278e-004	5.818375e-003	5.827922e-003
4.501046428415849e-004	4.636453e-003	4.645343e-003
4.634974999844420e-004	3.401866e-003	3.410069e-003
4.746582142701563e-004	2.357738e-003	2.365361e-003
4.858189285558706e-004	1.314789e-003	1.321832e-003
4.969796428415849e-004	2.730191e-004	2.794827e-004
5.081403571272992e-004	-7.675723e-004	-7.616870e-004
5.193010714130135e-004	-1.806985e-003	-1.801677e-003
5.304617856987277e-004	-2.845219e-003	-2.840488e-003
5.416224999844420e-004	-3.882274e-003	-3.878119e-003
5.555733928415850e-004	-5.156804e-003	-5.153357e-003
5.695242856987278e-004	-6.369894e-003	-6.367121e-003
5.834751785558707e-004	-7.521544e-003	-7.519410e-003
5.974260714130135e-004	-8.611753e-003	-8.610224e-003
6.113769642701564e-004	-9.640521e-003	-9.639563e-003
