time	V(salida2)	V(vin1)
0.000000000000000e+000	2.063356e-005	0.000000e+000
3.571428549723319e-010	2.062498e-005	2.243995e-008
7.142857099446638e-010	2.061581e-005	4.487989e-008
1.071428564916996e-009	2.060607e-005	6.731984e-008
1.428571419889328e-009	2.059573e-005	8.975979e-008
1.785714274861660e-009	2.058482e-005	1.121997e-007
2.142857129833992e-009	2.057332e-005	1.346397e-007
2.499999984806323e-009	2.056124e-005	1.570796e-007
4.785714256629248e-008	4.599237e-005	3.006954e-006
9.321428514777863e-008	9.721603e-005	5.856826e-006
1.385714277292648e-007	1.742322e-004	8.706698e-006
1.839285703107509e-007	2.770409e-004	1.155657e-005
2.292857128922371e-007	4.056421e-004	1.440644e-005
2.746428554737233e-007	5.600359e-004	1.725630e-005
3.199999980552093e-007	7.402221e-004	2.010617e-005
6.399999961104186e-007	2.253990e-003	4.021218e-005
1.279999992220837e-006	6.089858e-003	8.042315e-005
2.559999984441674e-006	1.457981e-002	1.608383e-004
7.582321413013107e-006	4.882281e-002	4.769941e-004
1.260464284158454e-005	8.290090e-002	7.918950e-004
1.762696427015597e-005	1.168141e-001	1.105541e-003
2.264928569872741e-005	1.505623e-001	1.417932e-003
2.767160712729884e-005	1.841457e-001	1.729068e-003
3.269392855587027e-005	2.175641e-001	2.038949e-003
3.771624998444169e-005	2.508176e-001	2.347575e-003
4.831892855587028e-005	3.204773e-001	2.996094e-003
5.892160712729886e-005	3.876248e-001	3.624613e-003
6.952428569872745e-005	4.522602e-001	4.233131e-003
8.012696427015603e-005	5.143835e-001	4.821649e-003
9.072964284158462e-005	5.739946e-001	5.390167e-003
1.013323214130132e-004	6.310936e-001	5.938685e-003
1.119349999844418e-004	6.856804e-001	6.467202e-003
1.336983928415846e-004	7.868758e-001	7.473912e-003
1.554617856987275e-004	8.709324e-001	8.311347e-003
1.772251785558704e-004	9.378500e-001	8.979508e-003
1.989885714130133e-004	9.876287e-001	9.478395e-003
2.207519642701561e-004	1.020269e+000	9.808007e-003
2.425153571272990e-004	1.035769e+000	9.968344e-003
2.642787499844419e-004	1.034132e+000	9.959407e-003
2.838099999844419e-004	1.015804e+000	9.754423e-003
3.033412499844419e-004	9.840425e-001	9.420976e-003
3.228724999844419e-004	9.388457e-001	8.959068e-003
3.424037499844420e-004	8.802139e-001	8.368697e-003
3.619349999844420e-004	8.081472e-001	7.649865e-003
3.814662499844420e-004	7.226456e-001	6.802570e-003
4.009974999844420e-004	6.237091e-001	5.826813e-003
4.107631249844420e-004	5.702802e-001	5.312301e-003
4.205287499844420e-004	5.149387e-001	4.782940e-003
4.302943749844420e-004	4.576846e-001	4.238732e-003
4.400599999844420e-004	3.985180e-001	3.679676e-003
4.498256249844420e-004	3.374388e-001	3.105771e-003
4.595912499844420e-004	2.744471e-001	2.517019e-003
4.693568749844420e-004	2.095428e-001	1.913419e-003
4.735421428415849e-004	1.816169e-001	1.654236e-003
4.777274106987277e-004	1.535948e-001	1.394360e-003
4.819126785558706e-004	1.254764e-001	1.133791e-003
4.860979464130135e-004	9.726184e-002	8.725291e-004
4.902832142701563e-004	6.895102e-002	6.105737e-004
4.944684821272992e-004	4.054397e-002	3.479250e-004
4.986537499844420e-004	1.204070e-002	8.458319e-005
5.011649106987277e-004	-5.044524e-003	-7.328817e-005
5.036760714130134e-004	-2.211478e-002	-2.310432e-004
5.061872321272991e-004	-3.917006e-002	-3.886819e-004
5.086983928415849e-004	-5.621037e-002	-5.462043e-004
5.112095535558706e-004	-7.323571e-002	-7.036103e-004
5.137207142701563e-004	-9.024609e-002	-8.609000e-004
5.162318749844420e-004	-1.072415e-001	-1.018073e-003
5.243233928415849e-004	-1.621099e-001	-1.525455e-003
5.324149106987277e-004	-2.160471e-001	-2.025716e-003
5.405064285558707e-004	-2.690531e-001	-2.518859e-003
5.485979464130135e-004	-3.211278e-001	-3.004881e-003
5.566894642701564e-004	-3.722714e-001	-3.483784e-003
5.647809821272993e-004	-4.224838e-001	-3.955568e-003
5.728724999844421e-004	-4.717649e-001	-4.420232e-003
5.884974999844421e-004	-5.633253e-001	-5.295178e-003
6.041224999844421e-004	-6.471652e-001	-6.101663e-003
6.197474999844421e-004	-7.232846e-001	-6.839685e-003
6.353724999844421e-004	-7.916836e-001	-7.509244e-003
6.509974999844421e-004	-8.523622e-001	-8.110342e-003
6.666224999844422e-004	-9.053203e-001	-8.642977e-003
6.822474999844422e-004	-9.505579e-001	-9.107150e-003
7.079171428415851e-004	-1.003484e+000	-9.645342e-003
7.335867856987279e-004	-1.031944e+000	-9.933643e-003
7.592564285558708e-004	-1.035937e+000	-9.972052e-003
7.849260714130138e-004	-1.015463e+000	-9.760571e-003
8.105957142701566e-004	-9.705229e-001	-9.299198e-003
8.362653571272995e-004	-9.011160e-001	-8.587935e-003
8.619349999844423e-004	-8.072425e-001	-7.626780e-003
8.742117856987280e-004	-7.539755e-001	-7.096522e-003
8.864885714130138e-004	-6.966632e-001	-6.533023e-003
8.987653571272996e-004	-6.353057e-001	-5.936282e-003
9.110421428415853e-004	-5.699030e-001	-5.306299e-003
9.233189285558710e-004	-5.004551e-001	-4.643075e-003
9.355957142701567e-004	-4.269620e-001	-3.946609e-003
9.478724999844424e-004	-3.494237e-001	-3.216901e-003
9.542899106987281e-004	-3.081405e-001	-2.831019e-003
9.607073214130138e-004	-2.664479e-001	-2.442129e-003
9.671247321272995e-004	-2.243461e-001	-2.050232e-003
9.735421428415852e-004	-1.818349e-001	-1.655327e-003
9.799595535558709e-004	-1.389144e-001	-1.257416e-003
9.863769642701567e-004	-9.558460e-002	-8.564971e-004
9.927943749844423e-004	-5.184547e-002	-4.525711e-004
9.955845535558709e-004	-3.286452e-002	-2.772500e-004
9.983747321272996e-004	-1.388926e-002	-1.019783e-004
1.001164910698728e-003	5.080305e-003	7.324394e-005
1.003955089270157e-003	2.404418e-002	2.484168e-004
1.006745267841585e-003	4.300236e-002	4.235402e-004
1.009535446413014e-003	6.195484e-002	5.986142e-004
1.012325624984442e-003	8.090164e-002	7.736388e-004
1.019859107127300e-003	1.321657e-001	1.247084e-003
1.027392589270157e-003	1.827208e-001	1.715149e-003
1.034926071413014e-003	2.325669e-001	2.177836e-003
1.042459553555871e-003	2.817039e-001	2.635143e-003
1.049993035698728e-003	3.301319e-001	3.087071e-003
1.057526517841585e-003	3.778508e-001	3.533619e-003
1.065059999984442e-003	4.248607e-001	3.974789e-003
1.079568928555871e-003	5.127142e-001	4.808150e-003
1.094077857127300e-003	5.942284e-001	5.586760e-003
1.108586785698728e-003	6.694034e-001	6.310618e-003
1.123095714270157e-003	7.382391e-001	6.979726e-003
1.137604642841585e-003	8.007356e-001	7.594082e-003
1.152113571413014e-003	8.568928e-001	8.153687e-003
1.166622499984443e-003	9.067107e-001	8.658540e-003
1.192850178555871e-003	9.757556e-001	9.364215e-003
1.219077857127300e-003	1.019194e+000	9.807204e-003
1.245305535698728e-003	1.037027e+000	9.987508e-003
1.271533214270157e-003	1.029254e+000	9.905127e-003
1.297760892841586e-003	9.958742e-001	9.560060e-003
1.323988571413014e-003	9.368887e-001	8.952309e-003
1.350216249984443e-003	8.522972e-001	8.081872e-003
1.363330089270157e-003	8.003327e-001	7.559072e-003
1.376443928555871e-003	7.434914e-001	6.995365e-003
1.389557767841586e-003	6.817734e-001	6.390750e-003
1.402671607127300e-003	6.151787e-001	5.745227e-003
1.415785446413014e-003	5.437072e-001	5.058797e-003
1.428899285698729e-003	4.673591e-001	4.331459e-003
1.442013124984443e-003	3.861341e-001	3.563214e-003
1.448988571413014e-003	3.418991e-001	3.148382e-003
1.455964017841586e-003	2.971221e-001	2.729538e-003
1.462939464270157e-003	2.518029e-001	2.306681e-003
1.469914910698729e-003	2.059417e-001	1.879810e-003
1.476890357127300e-003	1.595383e-001	1.448927e-003
1.483865803555871e-003	1.125929e-001	1.014031e-003
1.490841249984443e-003	6.510544e-002	5.751220e-004
1.493910446413014e-003	4.424876e-002	3.823310e-004
1.496979642841586e-003	2.339584e-002	1.895769e-004
1.500048839270157e-003	2.546679e-003	-3.140227e-006
1.503118035698729e-003	-1.829872e-002	-1.958203e-004
1.506187232127300e-003	-3.914035e-002	-3.884635e-004
1.509256428555871e-003	-5.997823e-002	-5.810697e-004
1.512325624984443e-003	-8.081234e-002	-7.736388e-004
1.519859107127300e-003	-1.320443e-001	-1.247084e-003
1.527392589270157e-003	-1.825688e-001	-1.715149e-003
1.534926071413014e-003	-2.323859e-001	-2.177836e-003
1.542459553555871e-003	-2.814956e-001	-2.635143e-003
1.549993035698729e-003	-3.298979e-001	-3.087071e-003
1.557526517841586e-003	-3.775927e-001	-3.533619e-003
1.565059999984443e-003	-4.245801e-001	-3.974789e-003
1.579568928555872e-003	-5.123983e-001	-4.808150e-003
1.594077857127300e-003	-5.938879e-001	-5.586760e-003
1.608586785698729e-003	-6.690489e-001	-6.310618e-003
1.623095714270157e-003	-7.378812e-001	-6.979726e-003
1.637604642841586e-003	-8.003850e-001	-7.594082e-003
1.652113571413014e-003	-8.565602e-001	-8.153687e-003
1.666622499984443e-003	-9.064067e-001	-8.658540e-003
1.692850178555872e-003	-9.755464e-001	-9.364215e-003
1.719077857127300e-003	-1.019076e+000	-9.807204e-003
1.745305535698729e-003	-1.036996e+000	-9.987508e-003
1.771533214270157e-003	-1.029306e+000	-9.905127e-003
1.797760892841586e-003	-9.960056e-001	-9.560060e-003
1.823988571413015e-003	-9.370956e-001	-8.952309e-003
1.850216249984443e-003	-8.525756e-001	-8.081872e-003
1.863330089270157e-003	-8.006237e-001	-7.559072e-003
1.876443928555872e-003	-7.437866e-001	-6.995365e-003
1.889557767841586e-003	-6.820643e-001	-6.390750e-003
1.902671607127300e-003	-6.154567e-001	-5.745227e-003
1.915785446413015e-003	-5.439640e-001	-5.058797e-003
1.928899285698729e-003	-4.675861e-001	-4.331459e-003
1.942013124984443e-003	-3.863229e-001	-3.563214e-003
1.945082321413014e-003	-3.670492e-001	-3.382214e-003
1.948151517841586e-003	-3.476304e-001	-3.200126e-003
1.951220714270157e-003	-3.280665e-001	-3.016952e-003
1.954289910698728e-003	-3.083576e-001	-2.832689e-003
1.957359107127300e-003	-2.885036e-001	-2.647340e-003
1.960428303555871e-003	-2.685045e-001	-2.460903e-003
1.963497499984442e-003	-2.483603e-001	-2.273379e-003
1.965450624984442e-003	-2.354948e-001	-2.153711e-003
1.969914910698727e-003	-2.058531e-001	-1.878447e-003
1.974379196413012e-003	-1.760825e-001	-1.602251e-003
1.978843482127297e-003	-1.461828e-001	-1.325122e-003
1.983307767841583e-003	-1.161541e-001	-1.047061e-003
1.987772053555868e-003	-8.599636e-002	-7.680677e-004
1.992236339270153e-003	-5.570963e-002	-4.881417e-004
1.996700624984439e-003	-2.529389e-002	-2.072832e-004
1.998653749984438e-003	-1.200981e-002	-8.458385e-005
2.000000000000000e-003	-2.851785e-003	-4.898587e-018
