time	V(salida)	V(vin1)
0.000000000000000e+000	4.368140e-005	0.000000e+000
1.428571419889328e-009	4.373083e-005	1.346397e-007
2.857142839778655e-009	4.377886e-005	2.692794e-007
4.285714259667983e-009	4.382549e-005	4.039191e-007
5.714285679557311e-009	4.387072e-005	5.385587e-007
7.142857099446638e-009	4.391455e-005	6.731984e-007
8.571428519335966e-009	4.395697e-005	8.078381e-007
9.999999939225290e-009	4.399799e-005	9.424778e-007
9.999999939225293e-008	5.789445e-005	9.424785e-006
1.899999988452806e-007	8.330083e-005	1.790708e-005
2.799999982983082e-007	1.202171e-004	2.638935e-005
3.699999977513359e-007	1.686434e-004	3.487161e-005
4.599999972043635e-007	2.285795e-004	4.335385e-005
5.499999966573912e-007	3.000256e-004	5.183607e-005
6.399999961104186e-007	3.829816e-004	6.031827e-005
1.279999992220837e-006	1.106891e-003	1.206347e-004
2.559999984441674e-006	2.990302e-003	2.412574e-004
4.513124984441674e-006	6.250950e-003	4.252790e-004
9.535446413013107e-006	1.507058e-002	8.992915e-004
1.455776784158454e-005	2.385563e-002	1.371240e-003
1.958008927015597e-005	3.260608e-002	1.841124e-003
2.460241069872741e-005	4.132196e-002	2.308944e-003
2.962473212729884e-005	5.000324e-002	2.774700e-003
3.464705355587027e-005	5.864994e-002	3.238392e-003
3.966937498444169e-005	6.726205e-002	3.700019e-003
5.083008927015599e-005	8.630229e-002	4.720941e-003
6.199080355587029e-005	1.046957e-001	5.707046e-003
7.315151784158459e-005	1.224422e-001	6.658334e-003
8.431223212729890e-005	1.395418e-001	7.574804e-003
9.547294641301318e-005	1.559946e-001	8.456456e-003
1.066336606987275e-004	1.718005e-001	9.303292e-003
1.177943749844418e-004	1.869595e-001	1.011531e-002
1.367675892701561e-004	2.107344e-001	1.138899e-002
1.557408035558704e-004	2.309538e-001	1.247069e-002
1.747140178415847e-004	2.476178e-001	1.336039e-002
1.936872321272990e-004	2.607265e-001	1.405811e-002
2.126604464130133e-004	2.702797e-001	1.456384e-002
2.316336606987276e-004	2.762776e-001	1.487758e-002
2.506068749844418e-004	2.787201e-001	1.499933e-002
2.695800892701562e-004	2.764224e-001	1.486352e-002
2.885533035558705e-004	2.705649e-001	1.453638e-002
3.075265178415847e-004	2.611474e-001	1.401790e-002
3.264997321272991e-004	2.481699e-001	1.330807e-002
3.454729464130134e-004	2.316326e-001	1.240691e-002
3.644461606987277e-004	2.115352e-001	1.131440e-002
3.834193749844420e-004	1.878780e-001	1.003055e-002
3.945800892701563e-004	1.727825e-001	9.213312e-003
4.057408035558706e-004	1.570357e-001	8.361747e-003
4.169015178415848e-004	1.406375e-001	7.475858e-003
4.280622321272992e-004	1.235880e-001	6.555644e-003
4.392229464130135e-004	1.058872e-001	5.601106e-003
4.503836606987278e-004	8.753497e-002	4.612245e-003
4.615443749844420e-004	6.853144e-002	3.589059e-003
4.671247321272992e-004	5.897349e-002	3.074718e-003
4.727050892701563e-004	4.937228e-002	2.558194e-003
4.782854464130134e-004	3.972782e-002	2.039485e-003
