time	V(N001,N002)
0.000000000000000e+000	0.000000e+000
3.657142834916679e-007	-3.847297e-005
7.314285669833358e-007	-9.401477e-005
1.097142850475004e-006	-1.666254e-004
1.462857133966672e-006	-2.563048e-004
1.828571417458339e-006	-3.630531e-004
2.194285700950007e-006	-4.868702e-004
2.559999984441674e-006	-6.277561e-004
2.906669641301313e-005	-1.096476e-002
5.557339284158459e-005	-2.041982e-002
8.208008927015605e-005	-2.899292e-002
1.085867856987275e-004	-3.668406e-002
1.350934821272990e-004	-4.349325e-002
1.616001785558704e-004	-4.942049e-002
1.881068749844418e-004	-5.446577e-002
2.224260714130133e-004	-5.769360e-002
2.567452678415848e-004	-5.849001e-002
2.910644642701562e-004	-5.685500e-002
3.253836606987277e-004	-5.278857e-002
3.597028571272992e-004	-4.629071e-002
3.940220535558706e-004	-3.736144e-002
4.283412499844420e-004	-2.600074e-002
4.531738392701563e-004	-1.690403e-002
4.780064285558706e-004	-7.932571e-003
5.028390178415849e-004	9.136492e-004
5.276716071272992e-004	9.634626e-003
5.525041964130136e-004	1.823036e-002
5.773367856987279e-004	2.670085e-002
6.021693749844421e-004	3.504610e-002
6.479283035558707e-004	4.726648e-002
6.936872321272994e-004	5.507467e-002
7.394461606987279e-004	5.847068e-002
7.852050892701566e-004	5.745451e-002
8.309640178415852e-004	5.202615e-002
8.767229464130139e-004	4.218561e-002
9.224818749844424e-004	2.793288e-002
9.475934821272995e-004	1.885078e-002
9.727050892701567e-004	9.853027e-003
9.978166964130140e-004	9.396271e-004
1.022928303555871e-003	-7.889422e-003
1.048039910698728e-003	-1.663412e-002
1.073151517841585e-003	-2.529446e-002
1.098263124984442e-003	-3.387046e-002
1.144580089270157e-003	-4.656153e-002
1.190897053555871e-003	-5.473950e-002
1.237214017841585e-003	-5.840437e-002
1.283530982127300e-003	-5.755615e-002
1.329847946413014e-003	-5.219482e-002
1.376164910698729e-003	-4.232040e-002
1.422481874984443e-003	-2.793288e-002
1.447593482127300e-003	-1.885078e-002
1.472705089270157e-003	-9.853027e-003
1.497816696413014e-003	-9.396271e-004
1.522928303555871e-003	7.889422e-003
1.548039910698729e-003	1.663412e-002
1.573151517841586e-003	2.529446e-002
1.598263124984443e-003	3.387046e-002
1.644580089270157e-003	4.656153e-002
1.690897053555872e-003	5.473950e-002
1.737214017841586e-003	5.840437e-002
1.783530982127300e-003	5.755615e-002
1.829847946413015e-003	5.219482e-002
1.876164910698729e-003	4.232040e-002
1.922481874984443e-003	2.793288e-002
1.965450624984442e-003	1.305747e-002
1.998653749984438e-003	8.556843e-004
2.000000000000000e-003	3.564358e-004
