time	V(n002)
0.000000000000000e+000	2.745634e+000
3.657142834916679e-007	2.745653e+000
7.314285669833358e-007	2.745681e+000
1.097142850475004e-006	2.745717e+000
1.462857133966672e-006	2.745762e+000
1.828571417458339e-006	2.745816e+000
2.194285700950007e-006	2.745878e+000
2.559999984441674e-006	2.745948e+000
2.906669641301313e-005	2.751117e+000
5.557339284158459e-005	2.755844e+000
8.208008927015605e-005	2.760131e+000
1.085867856987275e-004	2.763976e+000
1.350934821272990e-004	2.767381e+000
1.616001785558704e-004	2.770345e+000
1.881068749844418e-004	2.772867e+000
2.224260714130133e-004	2.774481e+000
2.567452678415848e-004	2.774879e+000
2.910644642701562e-004	2.774061e+000
3.253836606987277e-004	2.772028e+000
3.597028571272992e-004	2.768779e+000
3.940220535558706e-004	2.764315e+000
4.283412499844420e-004	2.758634e+000
4.531738392701563e-004	2.754086e+000
4.780064285558706e-004	2.749600e+000
5.028390178415849e-004	2.745177e+000
5.276716071272992e-004	2.740817e+000
5.525041964130136e-004	2.736519e+000
5.773367856987279e-004	2.732284e+000
6.021693749844421e-004	2.728111e+000
6.479283035558707e-004	2.722001e+000
6.936872321272994e-004	2.718097e+000
7.394461606987279e-004	2.716399e+000
7.852050892701566e-004	2.716907e+000
8.309640178415852e-004	2.719621e+000
8.767229464130139e-004	2.724541e+000
9.224818749844424e-004	2.731668e+000
9.475934821272995e-004	2.736209e+000
9.727050892701567e-004	2.740708e+000
9.978166964130140e-004	2.745164e+000
1.022928303555871e-003	2.749579e+000
1.048039910698728e-003	2.753951e+000
1.073151517841585e-003	2.758282e+000
1.098263124984442e-003	2.762570e+000
1.144580089270157e-003	2.768915e+000
1.190897053555871e-003	2.773004e+000
1.237214017841585e-003	2.774836e+000
1.283530982127300e-003	2.774412e+000
1.329847946413014e-003	2.771731e+000
1.376164910698729e-003	2.766794e+000
1.422481874984443e-003	2.759600e+000
1.447593482127300e-003	2.755059e+000
1.472705089270157e-003	2.750561e+000
1.497816696413014e-003	2.746104e+000
1.522928303555871e-003	2.741690e+000
1.548039910698729e-003	2.737317e+000
1.573151517841586e-003	2.732987e+000
1.598263124984443e-003	2.728699e+000
1.644580089270157e-003	2.722353e+000
1.690897053555872e-003	2.718264e+000
1.737214017841586e-003	2.716432e+000
1.783530982127300e-003	2.716856e+000
1.829847946413015e-003	2.719536e+000
1.876164910698729e-003	2.724474e+000
1.922481874984443e-003	2.731668e+000
1.965450624984442e-003	2.739105e+000
1.998653749984438e-003	2.745206e+000
2.000000000000000e-003	2.745456e+000
