tiempo	ganancia1	ganancia2
-0.0025 0.006 -0.048
-0.002498 0 -0.064
-0.002496 0.002 -0.064
-0.002494 0.002 -0.08
-0.002492 -0.002 -0.08
-0.00249 -0.002 -0.08799999999999999
-0.002488 -0.006 -0.104
-0.002486 -0.006 -0.104
-0.002484 -0.004 -0.112
-0.002482 -0.008 -0.12
-0.00248 -0.01 -0.128
-0.002478 -0.018 -0.136
-0.002476 -0.012 -0.144
-0.002474 -0.014 -0.152
-0.002472 -0.012 -0.16
-0.00247 -0.014 -0.168
-0.002468 -0.02 -0.176
-0.002466 -0.02 -0.176
-0.002464 -0.022 -0.184
-0.002462 -0.024 -0.192
-0.00246 -0.024 -0.2
-0.002458 -0.026 -0.208
-0.002456 -0.03 -0.216
-0.002454 -0.032 -0.224
-0.002452 -0.032 -0.232
-0.00245 -0.034 -0.24
-0.002448 -0.034 -0.248
-0.002446 -0.034 -0.248
-0.002444 -0.038 -0.256
-0.002442 -0.034 -0.264
-0.00244 -0.036 -0.272
-0.002438 -0.04 -0.28
-0.002436 -0.042 -0.288
-0.002434 -0.042 -0.296
-0.002432 -0.046 -0.304
-0.00243 -0.044 -0.304
-0.002428 -0.046 -0.312
-0.002426 -0.05 -0.32
-0.002424 -0.048 -0.328
-0.002422 -0.05 -0.336
-0.00242 -0.05 -0.336
-0.002418 -0.054 -0.344
-0.002416 -0.056 -0.352
-0.002414 -0.058 -0.352
-0.002412 -0.058 -0.36
-0.00241 -0.054 -0.376
-0.002408 -0.058 -0.376
-0.002406 -0.06 -0.384
-0.002404 -0.062 -0.384
-0.002402 -0.064 -0.392
-0.0024 -0.064 -0.4
-0.002398 -0.066 -0.4
-0.002396 -0.068 -0.408
-0.002394 -0.068 -0.416
-0.002392 -0.068 -0.416
-0.00239 -0.07199999999999999 -0.424
-0.002388 -0.07199999999999999 -0.432
-0.002386 -0.074 -0.432
-0.002384 -0.076 -0.44
-0.002382 -0.076 -0.44
-0.00238 -0.076 -0.448
-0.002378 -0.078 -0.456
-0.002376 -0.08 -0.456
-0.002374 -0.082 -0.464
-0.002372 -0.078 -0.464
-0.00237 -0.082 -0.472
-0.002368 -0.082 -0.472
-0.002366 -0.08599999999999999 -0.48
-0.002364 -0.08599999999999999 -0.488
-0.002362 -0.08599999999999999 -0.488
-0.00236 -0.08599999999999999 -0.496
-0.002358 -0.08799999999999999 -0.504
-0.002356 -0.08799999999999999 -0.504
-0.002354 -0.092 -0.512
-0.002352 -0.094 -0.512
-0.00235 -0.092 -0.512
-0.002348 -0.092 -0.52
-0.002346 -0.096 -0.52
-0.002344 -0.098 -0.528
-0.002342 -0.094 -0.528
-0.00234 -0.098 -0.528
-0.002338 -0.098 -0.536
-0.002336 -0.098 -0.544
-0.002334 -0.1 -0.544
-0.002332 -0.102 -0.544
-0.00233 -0.1 -0.544
-0.002328 -0.102 -0.552
-0.002326 -0.104 -0.552
-0.002324 -0.104 -0.552
-0.002322 -0.102 -0.5600000000000001
-0.00232 -0.104 -0.5679999999999999
-0.002318 -0.104 -0.5679999999999999
-0.002316 -0.106 -0.5679999999999999
-0.002314 -0.108 -0.5679999999999999
-0.002312 -0.108 -0.576
-0.00231 -0.108 -0.576
-0.002308 -0.106 -0.576
-0.002306 -0.11 -0.576
-0.002304 -0.112 -0.576
-0.002302 -0.112 -0.584
-0.0023 -0.11 -0.584
-0.002298 -0.112 -0.584
-0.002296 -0.114 -0.592
-0.002294 -0.112 -0.592
-0.002292 -0.112 -0.592
-0.00229 -0.116 -0.592
-0.002288 -0.112 -0.592
-0.002286 -0.118 -0.592
-0.002284 -0.114 -0.592
-0.002282 -0.112 -0.592
-0.00228 -0.112 -0.592
-0.002278 -0.112 -0.592
-0.002276 -0.112 -0.592
-0.002274 -0.116 -0.592
-0.002272 -0.112 -0.592
-0.00227 -0.118 -0.592
-0.002268 -0.116 -0.6
-0.002266 -0.116 -0.592
-0.002264 -0.116 -0.6
-0.002262 -0.12 -0.6
-0.00226 -0.12 -0.6
-0.002258 -0.116 -0.6
-0.002256 -0.12 -0.6
-0.002254 -0.116 -0.592
-0.002252 -0.118 -0.6
-0.00225 -0.116 -0.592
-0.002248 -0.116 -0.592
-0.002246 -0.114 -0.592
-0.002244 -0.116 -0.6
-0.002242 -0.118 -0.592
-0.00224 -0.118 -0.592
-0.002238 -0.118 -0.592
-0.002236 -0.116 -0.592
-0.002234 -0.12 -0.592
-0.002232 -0.12 -0.584
-0.00223 -0.118 -0.592
-0.002228 -0.118 -0.592
-0.002226 -0.116 -0.584
-0.002224 -0.118 -0.584
-0.002222 -0.116 -0.584
-0.00222 -0.114 -0.584
-0.002218 -0.112 -0.584
-0.002216 -0.114 -0.576
-0.002214 -0.112 -0.576
-0.002212 -0.116 -0.5679999999999999
-0.00221 -0.118 -0.5679999999999999
-0.002208 -0.116 -0.5679999999999999
-0.002206 -0.118 -0.5679999999999999
-0.002204 -0.116 -0.5600000000000001
-0.002202 -0.118 -0.552
-0.0022 -0.114 -0.5600000000000001
-0.002198 -0.112 -0.552
-0.002196 -0.11 -0.552
-0.002194 -0.11 -0.552
-0.002192 -0.112 -0.552
-0.00219 -0.106 -0.544
-0.002188 -0.11 -0.544
-0.002186 -0.108 -0.536
-0.002184 -0.106 -0.528
-0.002182 -0.106 -0.528
-0.00218 -0.106 -0.528
-0.002178 -0.106 -0.528
-0.002176 -0.106 -0.52
-0.002174 -0.104 -0.52
-0.002172 -0.106 -0.512
-0.00217 -0.104 -0.512
-0.002168 -0.104 -0.504
-0.002166 -0.106 -0.504
-0.002164 -0.104 -0.496
-0.002162 -0.104 -0.496
-0.00216 -0.104 -0.488
-0.002158 -0.104 -0.488
-0.002156 -0.1 -0.48
-0.002154 -0.1 -0.472
-0.002152 -0.098 -0.472
-0.00215 -0.098 -0.464
-0.002148 -0.1 -0.456
-0.002146 -0.096 -0.456
-0.002144 -0.094 -0.448
-0.002142 -0.094 -0.448
-0.00214 -0.092 -0.44
-0.002138 -0.094 -0.44
-0.002136 -0.092 -0.432
-0.002134 -0.092 -0.424
-0.002132 -0.08799999999999999 -0.424
-0.00213 -0.09 -0.416
-0.002128 -0.08799999999999999 -0.408
-0.002126 -0.08799999999999999 -0.408
-0.002124 -0.08400000000000001 -0.4
-0.002122 -0.08799999999999999 -0.392
-0.00212 -0.08599999999999999 -0.384
-0.002118 -0.08400000000000001 -0.384
-0.002116 -0.082 -0.376
-0.002114 -0.078 -0.368
-0.002112 -0.08 -0.368
-0.00211 -0.078 -0.36
-0.002108 -0.074 -0.352
-0.002106 -0.074 -0.352
-0.002104 -0.07000000000000001 -0.344
-0.002102 -0.074 -0.328
-0.0021 -0.07199999999999999 -0.328
-0.002098 -0.068 -0.32
-0.002096 -0.07000000000000001 -0.32
-0.002094 -0.064 -0.304
-0.002092 -0.066 -0.304
-0.00209 -0.064 -0.296
-0.002088 -0.064 -0.288
-0.002086 -0.062 -0.288
-0.002084 -0.056 -0.272
-0.002082 -0.058 -0.264
-0.00208 -0.06 -0.264
-0.002078 -0.058 -0.256
-0.002076 -0.06 -0.248
-0.002074 -0.058 -0.24
-0.002072 -0.056 -0.24
-0.00207 -0.054 -0.232
-0.002068 -0.052 -0.224
-0.002066 -0.05 -0.208
-0.002064 -0.048 -0.208
-0.002062 -0.046 -0.2
-0.00206 -0.044 -0.184
-0.002058 -0.042 -0.184
-0.002056 -0.044 -0.176
-0.002054 -0.04 -0.168
-0.002052 -0.038 -0.16
-0.00205 -0.038 -0.152
-0.002048 -0.038 -0.144
-0.002046 -0.04 -0.136
-0.002044 -0.036 -0.136
-0.002042 -0.032 -0.128
-0.00204 -0.036 -0.12
-0.002038 -0.032 -0.104
-0.002036 -0.03 -0.104
-0.002034 -0.024 -0.096
-0.002032 -0.026 -0.08799999999999999
-0.00203 -0.024 -0.08
-0.002028 -0.022 -0.07199999999999999
-0.002026 -0.026 -0.064
-0.002024 -0.022 -0.056
-0.002022 -0.016 -0.048
-0.00202 -0.016 -0.04
-0.002018 -0.014 -0.032
-0.002016 -0.016 -0.024
-0.002014 -0.014 -0.016
-0.002012 -0.012 -0.008
-0.00201 -0.012 0
-0.002008 -0.01 0.008
-0.002006 -0.006 0.016
-0.002004 -0.006 0.024
-0.002002 -0.004 0.032
-0.002 -0.002 0.04
-0.001998 0 0.04
-0.001996 0 0.056
-0.001994 0.004 0.056
-0.001992 0.004 0.07199999999999999
-0.00199 0.004 0.08
-0.001988 0.006 0.08799999999999999
-0.001986 0.006 0.096
-0.001984 0.01 0.104
-0.001982 0.014 0.104
-0.00198 0.012 0.12
-0.001978 0.012 0.128
-0.001976 0.014 0.136
-0.001974 0.014 0.136
-0.001972 0.02 0.152
-0.00197 0.02 0.16
-0.001968 0.022 0.16
-0.001966 0.024 0.168
-0.001964 0.022 0.176
-0.001962 0.024 0.184
-0.00196 0.028 0.184
-0.001958 0.03 0.192
-0.001956 0.032 0.208
-0.001954 0.036 0.216
-0.001952 0.034 0.216
-0.00195 0.036 0.224
-0.001948 0.038 0.232
-0.001946 0.036 0.24
-0.001944 0.038 0.24
-0.001942 0.038 0.256
-0.00194 0.044 0.264
-0.001938 0.042 0.264
-0.001936 0.042 0.272
-0.001934 0.042 0.28
-0.001932 0.046 0.296
-0.00193 0.048 0.296
-0.001928 0.05 0.304
-0.001926 0.054 0.312
-0.001924 0.054 0.312
-0.001922 0.056 0.32
-0.00192 0.056 0.328
-0.001918 0.056 0.336
-0.001916 0.054 0.344
-0.001914 0.056 0.352
-0.001912 0.06 0.36
-0.00191 0.062 0.368
-0.001908 0.062 0.368
-0.001906 0.064 0.384
-0.001904 0.062 0.384
-0.001902 0.064 0.384
-0.0019 0.068 0.392
-0.001898 0.07000000000000001 0.4
-0.001896 0.068 0.408
-0.001894 0.07199999999999999 0.416
-0.001892 0.07199999999999999 0.416
-0.00189 0.074 0.424
-0.001888 0.076 0.432
-0.001886 0.078 0.432
-0.001884 0.076 0.44
-0.001882 0.076 0.44
-0.00188 0.08 0.448
-0.001878 0.08 0.456
-0.001876 0.08599999999999999 0.456
-0.001874 0.08 0.464
-0.001872 0.08400000000000001 0.464
-0.00187 0.08400000000000001 0.472
-0.001868 0.08599999999999999 0.472
-0.001866 0.08799999999999999 0.488
-0.001864 0.08799999999999999 0.488
-0.001862 0.09 0.488
-0.00186 0.092 0.496
-0.001858 0.092 0.504
-0.001856 0.08799999999999999 0.504
-0.001854 0.092 0.504
-0.001852 0.094 0.504
-0.00185 0.09 0.512
-0.001848 0.096 0.52
-0.001846 0.096 0.52
-0.001844 0.092 0.528
-0.001842 0.094 0.528
-0.00184 0.096 0.536
-0.001838 0.102 0.536
-0.001836 0.1 0.544
-0.001834 0.1 0.544
-0.001832 0.1 0.552
-0.00183 0.102 0.544
-0.001828 0.102 0.552
-0.001826 0.102 0.5600000000000001
-0.001824 0.108 0.5600000000000001
-0.001822 0.106 0.5679999999999999
-0.00182 0.106 0.5679999999999999
-0.001818 0.108 0.5679999999999999
-0.001816 0.108 0.576
-0.001814 0.106 0.576
-0.001812 0.106 0.584
-0.00181 0.106 0.584
-0.001808 0.11 0.584
-0.001806 0.112 0.584
-0.001804 0.116 0.584
-0.001802 0.11 0.592
-0.0018 0.112 0.592
-0.001798 0.116 0.592
-0.001796 0.114 0.592
-0.001794 0.114 0.592
-0.001792 0.116 0.6
-0.00179 0.116 0.592
-0.001788 0.116 0.6
-0.001786 0.114 0.6
-0.001784 0.114 0.6
-0.001782 0.118 0.608
-0.00178 0.118 0.6
-0.001778 0.116 0.6
-0.001776 0.118 0.608
-0.001774 0.12 0.608
-0.001772 0.118 0.608
-0.00177 0.116 0.608
-0.001768 0.118 0.608
-0.001766 0.118 0.608
-0.001764 0.12 0.608
-0.001762 0.116 0.608
-0.00176 0.118 0.608
-0.001758 0.12 0.608
-0.001756 0.116 0.608
-0.001754 0.122 0.608
-0.001752 0.122 0.608
-0.00175 0.118 0.608
-0.001748 0.116 0.608
-0.001746 0.118 0.608
-0.001744 0.118 0.608
-0.001742 0.118 0.608
-0.00174 0.116 0.608
-0.001738 0.116 0.6
-0.001736 0.118 0.6
-0.001734 0.122 0.6
-0.001732 0.12 0.6
-0.00173 0.12 0.592
-0.001728 0.116 0.592
-0.001726 0.116 0.592
-0.001724 0.118 0.592
-0.001722 0.114 0.584
-0.00172 0.116 0.584
-0.001718 0.114 0.584
-0.001716 0.114 0.584
-0.001714 0.114 0.576
-0.001712 0.114 0.576
-0.00171 0.116 0.576
-0.001708 0.114 0.5679999999999999
-0.001706 0.114 0.576
-0.001704 0.116 0.5679999999999999
-0.001702 0.118 0.5679999999999999
-0.0017 0.114 0.5679999999999999
-0.001698 0.116 0.5600000000000001
-0.001696 0.112 0.552
-0.001694 0.114 0.552
-0.001692 0.114 0.552
-0.00169 0.108 0.544
-0.001688 0.112 0.544
-0.001686 0.11 0.544
-0.001684 0.112 0.536
-0.001682 0.11 0.528
-0.00168 0.106 0.528
-0.001678 0.112 0.528
-0.001676 0.106 0.512
-0.001674 0.11 0.512
-0.001672 0.11 0.512
-0.00167 0.108 0.512
-0.001668 0.106 0.504
-0.001666 0.11 0.504
-0.001664 0.106 0.504
-0.001662 0.106 0.496
-0.00166 0.104 0.488
-0.001658 0.102 0.48
-0.001656 0.104 0.48
-0.001654 0.104 0.472
-0.001652 0.102 0.472
-0.00165 0.1 0.464
