time	V(salida)	V(vin1)
0.000000000000000e+000	5.978665e-010	0.000000e+000
7.142857099446638e-010	-8.589253e-009	6.731984e-008
1.428571419889328e-009	-2.159983e-008	1.346397e-007
2.142857129833992e-009	-3.843386e-008	2.019595e-007
2.857142839778655e-009	-5.909134e-008	2.692794e-007
3.571428549723319e-009	-8.357228e-008	3.365992e-007
4.285714259667983e-009	-1.118767e-007	4.039191e-007
4.999999969612645e-009	-1.440045e-007	4.712389e-007
9.999999939225290e-009	-3.034545e-007	9.424778e-007
9.999999939225293e-008	1.627581e-005	9.424785e-006
1.899999988452806e-007	5.253910e-005	1.790708e-005
2.799999982983082e-007	1.084864e-004	2.638935e-005
3.699999977513359e-007	1.841177e-004	3.487161e-005
4.599999972043635e-007	2.794331e-004	4.335385e-005
5.499999966573912e-007	3.944325e-004	5.183607e-005
6.399999961104186e-007	5.291158e-004	6.031827e-005
1.279999992220837e-006	1.702867e-003	1.206347e-004
2.559999984441674e-006	4.750318e-003	2.412574e-004
4.513124984441674e-006	9.995631e-003	4.252790e-004
9.814464270155965e-006	2.488962e-002	9.257434e-004
1.511580355587026e-005	3.971386e-002	1.423807e-003
2.041714284158455e-005	5.446835e-002	1.919471e-003
2.571848212729884e-005	6.915308e-002	2.412733e-003
3.101982141301313e-005	8.376807e-002	2.903596e-003
3.632116069872742e-005	9.831330e-002	3.392057e-003
4.162249998444170e-005	1.127888e-001	3.878119e-003
5.278321427015599e-005	1.430524e-001	4.895274e-003
6.394392855587029e-005	1.722257e-001	5.876822e-003
7.510464284158459e-005	2.003085e-001	6.822763e-003
8.626535712729890e-005	2.273009e-001	7.733097e-003
9.742607141301318e-005	2.532029e-001	8.607825e-003
1.085867856987275e-004	2.780145e-001	9.446946e-003
1.197474999844418e-004	3.017357e-001	1.025046e-002
1.401158035558703e-004	3.412632e-001	1.159642e-002
1.604841071272989e-004	3.742321e-001	1.271773e-002
1.808524106987275e-004	4.006422e-001	1.361438e-002
2.012207142701561e-004	4.204936e-001	1.428639e-002
2.215890178415847e-004	4.337863e-001	1.473374e-002
2.419573214130133e-004	4.405203e-001	1.495643e-002
2.623256249844419e-004	4.406956e-001	1.495448e-002
2.807408035558705e-004	4.336389e-001	1.469655e-002
2.991559821272990e-004	4.214134e-001	1.426350e-002
3.175711606987277e-004	4.040192e-001	1.365531e-002
3.359863392701562e-004	3.814562e-001	1.287199e-002
3.544015178415848e-004	3.537244e-001	1.191355e-002
3.728166964130134e-004	3.208239e-001	1.077997e-002
3.912318749844420e-004	2.827546e-001	9.471260e-003
4.018345535558705e-004	2.591784e-001	8.666192e-003
4.124372321272991e-004	2.346975e-001	7.832304e-003
4.230399106987278e-004	2.093118e-001	6.969596e-003
4.336425892701563e-004	1.830214e-001	6.078068e-003
4.442452678415849e-004	1.558262e-001	5.157721e-003
4.548479464130135e-004	1.277262e-001	4.208553e-003
4.654506249844420e-004	9.872144e-002	3.230566e-003
